Order Status,Catagory,Name,Qty (Of Orders w/ Link),Vendor,Price (Total),Link
Not Ordered,Cables,Assorted Wire Kit,1,,,
Not Ordered,Controller,Raspberry Pi 4,1,,,
Not Ordered,Controller,Raspberry Pi Zero 2 W,1,,,
Not Ordered,Controller,SKR 3 / SKR 3 EZ,1,,,
Not Ordered,Controller,Limit Switches,1,Amazon,$5.99 ,https://www.amazon.com/HiLetgo-KW12-3-Roller-Switch-Normally/dp/B07X142VGC?crid=DJDSZRVUUV6O&dib=eyJ2IjoiMSJ9.6U-WNCBR7-M0b3Ee_c49HgiD-J_wlZSdSaAv45F5DK_VDe_BYuWJ1g0hMND_l7lLg-TW7BR4mliEqFa9RZTkUj-qV7IHSVPtfgo3Y4bGbIh-I-a2vta6-O8Ty_PDI1UHMSKncB4x91A5bTe8mJHreyTnroCxALjJujzXJYKN9avpI6723O1s5T8_g1nh4_BNn0-1XkOLgvhdYREDe6tcdA7S6hGCyODqG0gXedfrNXI.vxSLX0LCJ7bvcPzibSnqzzefM-LiE8o3JAzkpw1te8I&dib_tag=se&keywords=limit+switch&qid=1782273933&sprefix=limit+switch%2Caps%2C188&sr=8-3
Not Ordered,Controller,TMC 2290,2,,,
Not Ordered,Controller,Raspberry Pi Camera Module 3,1,,,
Not Ordered,Controller,Adafruit PowerBoost 1000c,1,,,
Not Ordered,Controller,1200mah Battery,1,,,
Not Ordered,Controller,WS2812b NeoPixel LED Strip,1,,,
Not Ordered,Fasteners,M4 Bolt Kit,1,,,
Not Ordered,Fasteners,M3 Bolt Kit,1,Amazon,$9.99 ,https://www.amazon.com/Fgruh-750PCS-Assortment-Washers-Assorted/dp/B0FGV5FCBN?crid=8RVOTK5DN2A8&dib=eyJ2IjoiMSJ9.cuBJ5G2d98fh1Tef_3PCuMkzD7ModALGJvifmMpgkho-cJPdSEZAqWhOYQw-D1KvoEXy6bcKrjdKANjepaMrrC5BFVm1xGf5k14xca0b2SjvWLmnf6TiaSMp6P9CD-AZpEvS0QKHKf7--abmTChe1nefYx4kf2zbAhQvXe7kM4xMxOQXstSX99OO-sVOPHjbQT4s_gsdcB6m3878nqExuAsperhF-Ayvtz1LeJdmz2E.dtPTvGJKEApmFUJaX_kVX0M1jc3fvJ0UAOV_focXsD8&dib_tag=se&keywords=m3%2Bscrews&qid=1781042218&sprefix=m3%2B%2Caps%2C286&sr=8-3&th=1
Not Ordered,Fasteners,M3 T-Sliding Nuts,1,Amazon,$4.99 ,https://www.amazon.com/Zorveiio-Sliding-Fastener-Assortment-Aluminum/dp/B0C9D8T647?crid=1LB66ASWG4E36&dib=eyJ2IjoiMSJ9.qT2zjWoaW-skxSdXFSo6GsSKsRbEazYqPMfmbdGHQ8tN2yKxlGm-w9RlNm-3wDBF1_98dbjowDTfUsQHoNT3DmljNhE2qx7sfAUN01MGUTSbKrY3RomgOOMZ8vqeqDjd6aQu2nm3s_sKNYB3KJ0hNZc4uX_FB5sch2-IaXnnAJGncOFMV6V0kRSZ3rxKtEz3tlqqFy9HqKQzhYBl510ogcD592R4spyctpRdDeAJ8Vw.uq4bHp9C0rIq_kDoZ7LFPA-kfdHKjujaSwNI3eBmkq0&dib_tag=se&keywords=m3%2Bextrusion%2Bmounting%2Bhardware&qid=1781651143&sprefix=m3%2Bextrusion%2Bmounting%2Bhardwar%2Caps%2C178&sr=8-6&th=1
Not Ordered,Fasteners,M5 Bolt Kit,1,,,
Not Ordered,Fasteners,Heat Set Insert Kit (M2.5 - M3),1,,,
Not Ordered,Frame,Vevor Shelf,1,Amazon,$46.90 ,https://www.amazon.com/VEVOR-Shelving-Adjustable-Capacity-Organizer/dp/B0CC5JXSVB?dib=eyJ2IjoiMSJ9.SMLT6tMMg0Ao9RoyoDp9UZL5ruOcYLNvjk5SmvAVd9i01st4e-9mXmZgR4jQ0d2f_acc0Ykn2kjmb7Qb0ohO07a-pKvOpKdl1uEaEICzugxo_cyERDtBe0WfRSKN7XI9SvJJIxC37ubuTKkR3aoKAnwDgq6Zx_kHZCv0_r4kObnNHdLkliNmDhsjY44dvgiHc14oPul5eLYhlA1eOOp8WoLPW3y54DR1Z8fTgQnkZMXmBSDt8jU1somMdo415IYaywgZoafiIaAvDr_8-0J3ofPSE6z3BnckNoA3RyF6oXk.Dus0htctnxGQcty8sqFv0kNvShiSasXg1UgwJ-YAqaQ&dib_tag=se&keywords=shelf&qid=1780608943&sr=8-39&th=1 
Not Ordered,Frame,800mm 2040 Aluminum Extrusion,1,Misumi,$19.22 ,https://us.misumi-ec.com/vona2/detail/110302684350/?CategorySpec=00000042730%3A%3Amig00000001423218%09jp000151688%3A%3Amig00000000009801&searchFlow=results2products&KWSearch=2040+aluminum+extrusion+&list=PageCategory&tab=drawingAndSpecifications&Page=1&seriesCode=110302684350
Not Ordered,Frame,400mm 2020 Aluminum Extrusion,2,Misumi,$22.72 ,https://us.misumi-ec.com/vona2/detail/110302683830/?CategorySpec=00000042747%3A%3Amig00000001423216%0900000042730%3A%3Amig00000001495349%0900000042738%3A%3A00000042738.b%2100003%0900000042733%3A%3Aa%0900000042719%3A%3Aa%0900000042720%3A%3Aa%0900000042742%3A%3Ab%09jp000151684%3A%3Amig00000000009797%09jp000151685%3A%3Amig00000000009798%09jp000151686%3A%3Amig00000000358712%0900000332694%3A%3A800&searchFlow=results2products&KWSearch=2020+aluminum+extrusion+&list=PageCategory&seriesCode=110302683830&tab=catalog&Page=1&PartNumber=CAF5-2020-%5B50-4000%2F0.5%5D&InnerCode=MDM00001298734 
Not Ordered,Motion,NEMA 17 Stepper Motors,2,,,
Not Ordered,Motion,GT2 20 Teeth 5mm Bore Timing Pully,1,Amazon,$6.99 ,https://www.amazon.com/WINSINN-Aluminum-Synchronous-Timing-Printer/dp/B077GNZK3J?crid=Z87J4RU9E9HL&dib=eyJ2IjoiMSJ9.B4Y7UWX0ntkfKcCJf2EofJNRhLiFxELZ0ClGy9ilv5dAuSeVofteCvapO52ISxFA2tITSRrjfRZPGvBjDrTw0X7PHWG3oPHtckZWqAegNsPbiv9nDvC7txmX8jKEmUq00bmi8OJrAgKhG3JgU1fzirloGVB2sMJAAXPEW48LPYHw3Cfd4uPqC56hEy_ZZEoJqP_3qH97SbVC_Jupd4Myc94i4Ho5oB59KMQRE1GZyx0.Gvzq_FPJiu57N-6JhmIzgHQJ_XdrnpZxe6l4wx7xBy4&dib_tag=se&keywords=gt2%2Bpulley&qid=1780621297&sprefix=gt2%2B%2Caps%2C325&sr=8-5&th=1
Not Ordered,Motion,625zz V-Slot Gantry Wheels,1,Amazon,$9.99 ,https://www.amazon.com/SIMAX3D-Printer-Creality-Artillery-Sidewinder/dp/B08B4JDB67?crid=31NJOR9BTR1VS&dib=eyJ2IjoiMSJ9.zX3fUb1Hv1zDLaGerBO4GLdRMO19il2V8wxwQMoDJzUkUBvdz_NaLjaUE9NVm_P4YGsyTlty_Tuvh9XPQqsPI2Pg2bu3388QpnUhkpf5Ek8C0irwCMoawHucVLXPAhm858EaaRDNsq9GmkeGaVoRspfp9oINqo18SR65ZCAg2FkJa0JRcDQIAbXMs0BUSxGxmlrnKUXnHkntSh0DA8w4aPl3bFIsf6uZSxXzU6hUdSo.V_dtCZ5wvboX4-pP9iBhZv6cWqXQPvQ__Xx1cujRk-8&dib_tag=se&keywords=v%2Bwheels&qid=1780634341&sprefix=v%2Bwhee%2Caps%2C201&sr=8-3&th=1
